,Year,Acousticness,Danceability,Duration_Min,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Popularity,Speechiness,Tempo,Valence
81,2001,0.000481,0.589,3.3317833333333335,0.89,1.0,0.00082,4.0,0.201,-3.719,80.0,0.0603,90.598,0.6920000000000001
82,2002,0.3966,0.5525,5.061558333333334,0.6445,0.5,7.3e-06,3.0,0.0958,-5.2305,83.0,0.10515000000000002,158.86200000000002,0.1565
83,2003,0.006385,0.611,3.477666666666667,0.663,0.0,0.2235,4.5,0.447,-5.990499999999999,81.0,0.059,116.9495,0.28200000000000003
84,2004,0.0183,0.894,4.172883333333333,0.7909999999999999,0.0,0.0,2.0,0.0388,-4.699,81.0,0.112,105.018,0.583
85,2005,0.284,0.778,3.6348833333333332,0.8240000000000001,0.0,0.0,10.0,0.405,-5.892,82.0,0.0712,100.024,0.7559999999999999
86,2006,0.0569,0.8079999999999999,4.038216666666667,0.97,0.0,6.13e-05,10.0,0.154,-6.098,81.0,0.0506,114.328,0.868
87,2007,0.15732,0.722,4.0015583333333336,0.6485000000000001,0.5,0.0,8.5,0.278,-7.3335,80.0,0.24,91.00150000000002,0.49100000000000005
88,2008,0.00475,0.527,3.028,0.922,0.0,0.000162,9.0,0.422,-2.6660000000000004,85.0,0.0728,95.975,0.49
89,2009,0.016319999999999998,0.5934999999999999,4.762441666666667,0.9385,1.0,2.62e-05,5.5,0.2721,-2.6465,80.0,0.21415,146.293,0.7625
90,2010,0.28,0.321,3.572216666666667,0.64,0.0,0.0,2.0,0.718,-10.023,83.0,0.0324,146.172,0.414
91,2011,0.3215,0.6950000000000001,3.521225,0.635,0.0,0.0575,5.5,0.0875,-7.449,84.0,0.03795,144.98399999999998,0.9095
92,2012,0.908,0.339,3.444,0.214,0.0,7.47e-06,4.0,0.341,-11.714,85.0,0.0375,94.775,0.363
93,2013,0.0495,0.612,4.006666666666667,0.807,0.0,0.0177,10.0,0.101,-2.81,89.0,0.0336,124.053,0.398
94,2014,0.0489,0.525,3.40155,0.621,0.0,0.0,7.0,0.294,-7.364,88.0,0.116,191.9,0.591
95,2015,0.0678,0.588,4.336216666666667,0.521,0.0,0.149,10.0,0.123,-9.461,87.0,0.0329,85.012,0.337
96,2016,0.701,0.311,3.48045,0.485,0.0,0.0,6.0,0.0726,-5.726,88.0,0.0365,77.355,0.225
97,2017,0.2656,0.824,2.695666666666667,0.5855,0.5,2.065e-06,5.0,0.189,-6.759,87.0,0.185,129.485,0.5515
98,2018,0.483,0.716,2.7651166666666667,0.512,0.0,0.0,1.0,0.0928,-6.2570000000000014,91.0,0.0331,104.957,0.326
99,2019,0.122,0.5479999999999999,2.9,0.816,0.0,0.0,0.0,0.335,-4.209,91.0,0.0465,95.39,0.557
100,2020,0.34450000000000003,0.7184999999999999,2.6070916666666664,0.762,1.0,0.0,3.5,0.18255000000000002,-4.1645,96.0,0.06235,117.502,0.719
